,,,BEES,,,,Pre-Retrofit,,,Post-Retrofit,,,,,Consumption,,Opportunity,,,
Healy Lake,Yukon-Koyukuk/Upper Tanana,7,1,672,1.2577827381,845.23,1,1121.8146232877,0.2465402206,1,672,0.3264046098,0.5954315476,400.13,2628.2221236908,18007.261765875,5,451.3725718948,3270.815738368,0.1816387067
Hobart Bay,Southeast,1,0,0,0,0,0,1711.7903707981,0.1227746387,0,0,0.2806617236,0,0,210.1644443788,1374.6698868031,1,58.9851152042,427.4283710449,0.3109316463
Hollis,Southeast,44,13,923.9230769231,0.2119148161,2545.3088558273,13,923.9230769231,0.2119148161,9,894.3333333333,0.2806617236,0.1388733937,1117.7919462359,7970.5465580785,51234.1054933227,22,1208.9351503074,8760.3996399084,0.1709876567
Holy Cross,Yukon-Koyukuk/Upper Tanana,64,7,875.8928571429,0.1893510717,1160.9587581714,7,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,16925.586968246,113160.485277145,57,5145.6473196005,37287.2994173949,0.3295081258
Hoonah,Southeast,305,78,1358.0512820513,0.167334455,17725.4041520149,78,1358.0512820513,0.167334455,53,1294.8113207547,0.3413035794,0.1089581928,7477.2559807567,64743.9463180357,423939.466072722,174,13495.5825088368,97794.0761509914,0.2306793398
Hooper Bay,Lower Yukon-Kuskokwim,256,104,1233.7836538462,0.1446537768,18561.0323845968,104,1233.7836538462,0.1446537768,37,796,0.2652378437,0.1018632772,3000.0772399431,42085.3281267382,267011.363237233,115,5443.799458553,39447.8221634275,0.1477383647
Hope,Railbelt,97,4,903.8125,0.2915628176,1054.0724761824,4,1747.5136673929,0.1539357067,3,1018.0833333333,0.2301575703,0.1907122058,582.4827545932,25846.9828594852,172915.672894821,90,5572.2131990201,40378.3565146383,0.2335147291
Houston,Railbelt,731,27,1376.6018518519,0.1455498795,5409.8343075619,27,1376.6018518519,0.1455498795,20,1495.8,0.1703902608,0.1177049511,3521.2613182723,145980.231417401,949449.068242036,684,23351.8379942993,169216.217349995,0.1782256922
Hughes,Yukon-Koyukuk/Upper Tanana,31,30,815.2666666667,0.1707400951,4175.9612460631,30,815.2666666667,0.1707400951,19,736.4736842105,0.1911741181,0.1459940588,2042.8948644908,3713.279362916,22311.734513884,0,0,0,0
Huslia,Yukon-Koyukuk/Upper Tanana,91,29,1007.8965517241,0.1435590644,4196.0878936951,29,1007.8965517241,0.1435590644,18,887.4444444444,0.1278800212,0.1230969451,1966.3506005167,12528.9166777492,77297.5121576028,44,814.1453651813,5899.6040955166,0.0763233373
Hydaburg,Southeast,128,59,1170.5423728814,0.1189296342,8213.5183954596,59,1170.5423728814,0.1189296342,40,1174.425,0.2630062538,0.076511463,3594.2789972159,15844.9505023082,95841.0905964359,29,1061.7965153688,7694.1776475996,0.0802805728
Hyder,Southeast,48,0,0,0,0,0,1711.7903707981,0.1227746387,0,0,0.2806617236,0,0,10087.8933301837,65984.1545665489,48,2831.2855298013,20516.5618101542,0.3109316463
Igiugig,Bristol Bay,16,21,1212.7619047619,0.0921940066,2347.9969612918,21,1212.7619047619,0.0921940066,0,0,0.2334826601,0,0,1788.9500657461,10591.2323604792,0,0,0,0
Iliamna,Bristol Bay,39,25,1296.84,0.1643300459,5327.7444185162,25,1296.84,0.1643300459,18,1130.3888888889,0.3234954473,0.1229332444,2501.3227229533,6976.6280345068,44773.1016993249,0,0,0,0
Ivanof Bay,Bristol Bay,2,0,0,0,0,0,1253.7457405615,0.1364969949,0,0,0.2334826601,0,0,342.2650517939,2183.6597956078,2,79.9129547452,579.0793822117,0.2651875459
Juneau,Southeast,12187,3550,1771.3321513269,0.1199230701,754103.743498265,3550,1771.3321513269,0.1199230701,1447,1698.8304781705,0.2755492127,0.0907047565,222971.131092044,2504400.48466144,16340974.3816047,7190,420853.369322471,3049662.09653965,0.1866266983
Kake,Southeast,213,69,1156.9565217391,0.1950046816,15567.2237349159,69,1156.9565217391,0.1950046816,63,1104.8888888889,0.3860939641,0.0983423597,6845.414974442,40687.20570252,263255.258713913,81,7055.7000122342,51128.2609582188,0.1942155352
Kaktovik,North Slope,72,33,1170.0324242424,0.1587840495,6130.8220518479,33,1170.0324242424,0.1587840495,14,1277.9335714286,0.2741017256,0.1258722931,2251.9900071549,13027.3742194936,83726.479851403,25,1273.0825029848,9225.2355288756,0.1101830095
Kaltag,Yukon-Koyukuk/Upper Tanana,70,13,961.3076923077,0.1444318068,1804.9642891965,13,961.3076923077,0.1444318068,1,480,0.3264046098,0.319875,153.54,9733.7350734276,60156.0512567214,56,2537.8711702561,18390.370798957,0.30571107
Karluk,Kodiak,12,2,1120,0.0879966518,197.1125,2,1817.0217554859,0.1060456189,2,1120,0.2585839941,0.0759818561,170.1993576838,1908.8094307067,12052.8219616429,8,398.606599313,2888.4536182099,0.2396495715
Kasaan,Southeast,23,7,1085.7142857143,0.0627716663,477.0646637291,7,1711.7903707981,0.1227746387,1,1200,0.2806617236,0.056625,67.95,3697.4813294116,23383.3429667503,15,884.7767280629,6411.4255656732,0.2741877231
Kasigluk,Lower Yukon-Kuskokwim,113,0,0,0,0,0,1045.957275886,0.1666381457,0,0,0.3336983204,0,0,19695.4910444636,125967.471336693,113,6572.3522803936,47625.7411622722,0.3780796793
Kenny Lake,Copper River/Chugach,145,31,1431.6722580645,0.2621394849,11634.2326754815,31,1431.6722580645,0.2621394849,22,1236.5127272727,0.3892231023,0.1512593733,4114.7510840093,50276.3839576941,342823.796794885,92,13438.8618200763,97383.0566672192,0.2840615429
Ketchikan,Southeast,3259,1307,1784.5740383142,0.1162513626,271149.126739147,1307,1784.5740383142,0.1162513626,677,1615.777056213,0.2858120188,0.0859334679,94000.9935164239,629660.553761625,4079575.46204076,1275,75600.2610055779,547827.978301289,0.1342855362
Kiana,Northwest Arctic,101,35,916.5714285714,0.1882984996,6040.6158672943,35,916.5714285714,0.1882984996,24,836.0416666667,0.3357608357,0.1273261006,2554.7982077228,15844.1531157702,99838.3559113785,42,2433.8426781469,17636.5411459922,0.1766509573
King Cove,Aleutians,181,68,1423.4652941177,0.1283261586,12421.4126517571,68,1423.4652941177,0.1283261586,27,1220.3403703704,0.3053590556,0.079309815,2613.1941645351,30744.0404641027,195947.684522483,86,4797.0178234871,34760.9987209212,0.177399385
King Salmon,Bristol Bay,157,35,1621.3114285714,0.1499465069,8508.8494845403,35,1621.3114285714,0.1499465069,20,1447.445,0.2438676032,0.1191424333,3449.0423859573,36755.1103683009,243064.422958702,102,6047.2382403424,43820.5669590031,0.1802837553
Kipnuk,Lower Yukon-Kuskokwim,153,21,998.8571428571,0.1023321972,2146.5201695018,21,998.8571428571,0.1023321972,17,991.0588235294,0.3238780372,0.0652413418,1099.1861268498,15000.4596055279,86015.0696052745,115,3807.1064296902,27587.7277513781,0.3207313309
Kivalina,Northwest Arctic,85,50,752.16,0.198117531,7450.8041068326,50,752.16,0.198117531,38,732.9473684211,0.4027345504,0.1093479913,3045.5602530702,10049.3161134928,60218.9573441509,0,0,0,0
Klawock,Southeast,297,113,1194.4046902655,0.1356346954,18306.306950127,113,1194.4046902655,0.1356346954,87,1064.698045977,0.2619059812,0.1003594254,9296.1661197031,43316.7365579922,269855.9170869,97,4115.6595973135,29823.6202703879,0.1105168291
Klukwan,Southeast,41,0,0,0,0,0,1711.7903707981,0.1227746387,0,0,0.2806617236,0,0,8616.742219532,56361.4653589271,41,2418.3897233719,17524.5632128401,0.3109316463
Kobuk,Northwest Arctic,36,20,963.125,0.2689704619,5181.0435232407,20,963.125,0.2689704619,18,920.5833333333,0.3650221183,0.1293500284,2143.3946453121,6806.3338162287,43983.8682335411,0,0,0,0
Kodiak,Kodiak,2039,1045,1832.779486631,0.1067820633,204514.834017937,1045,1832.779486631,0.1067820633,300,1652.39408,0.2599346795,0.0990088483,49080.4904191256,389416.659181989,2519555.93610137,694,35304.6751189703,255830.979122973,0.1015381224
Kodiak Station,Kodiak,332,0,0,0,0,0,1817.0217554859,0.1060456189,0,0,0.2585839941,0,0,63972.1492804502,414343.690438045,332,16542.173871488,119870.82515571,0.2893028853
Kokhanok,Bristol Bay,52,33,904.7284848485,0.1525618543,4554.8928234253,33,904.7284848485,0.1525618543,20,817.9,0.2814386399,0.1023181216,1673.7198336371,6090.5856018071,36425.113056573,0,0,0,0
Koliganek,Bristol Bay,55,5,983.2,0.186667965,917.6597160347,5,1253.7457405615,0.1364969949,0,0,0.2334826601,0,0,9474.2860108816,60499.898629577,50,1997.8238686304,14476.9845552925,0.2392894019
Kongiganak,Lower Yukon-Kuskokwim,94,0,0,0,0,0,1045.957275886,0.1666381457,0,0,0.3336983204,0,0,16383.8598068989,104787.100049992,94,5467.2664987345,39617.8731792352,0.3780796793
Kotlik,Lower Yukon-Kuskokwim,128,39,890.4358974359,0.1670663644,5801.7136376855,39,890.4358974359,0.1670663644,33,861.696969697,0.2351395428,0.1269913994,3611.1274339779,17743.5068078271,109598.744984254,56,1958.8689324476,14194.7024090406,0.1295151912
Kotzebue,Northwest Arctic,954,192,1394.85375,0.1493593641,40000.2180717089,192,1394.85375,0.1493593641,79,1301.9905063291,0.2501769646,0.1177476196,12111.1963476356,194403.856830684,1267282.73065713,683,35598.2913225584,257958.632772163,0.2035525511
Koyuk,Bering Straits,89,1,1040,0.0622788462,64.77,1,1243.088742515,0.1509469955,0,0,0.3261277145,0,0,16577.1349559525,106928.948956177,88,5385.1398448537,39022.7524989395,0.3649409527
Koyukuk,Yukon-Koyukuk/Upper Tanana,42,3,642.75,0.1530618713,295.1415533913,3,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,11081.4661181792,74073.5225955014,39,3520.7060607793,25512.3627592702,0.3444194614
Kupreanof,Southeast,15,1,803,0.1156662516,92.88,1,1711.7903707981,0.1227746387,0,0,0.2806617236,0,0,3035.1822213036,19770.1610239391,14,825.7916128587,5983.9971946283,0.3026782224
Kwethluk,Lower Yukon-Kuskokwim,172,47,861.1063829787,0.211475183,8558.8236072725,47,861.1063829787,0.211475183,26,681.0769230769,0.6393137246,0.0821754529,1455.1629207702,28042.1468922975,177703.093422446,99,11525.6503499481,83519.2054344065,0.4699929744
Kwigillingok,Lower Yukon-Kuskokwim,82,30,1107.4666666667,0.1296972315,4309.0608191854,30,1107.4666666667,0.1296972315,30,1107.4666666667,0.1259696465,0.1110912431,3690.8954595897,11159.9342128445,68711.6971945251,22,398.0613034209,2884.5021987019,0.0419797839
Lake Louise,Railbelt,25,0,0,0,0,0,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,6725.1187857527,45026.2230851644,25,1547.8369997278,11216.2101429551,0.2491039526
Lake Minchumina,Yukon-Koyukuk/Upper Tanana,6,0,0,0,0,0,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,1659.4345484289,11135.3228147022,6,541.6470862737,3924.9788860416,0.352480027
Larsen Bay,Kodiak,34,3,1114,0.0650448833,217.38,3,1817.0217554859,0.1060456189,0,0,0.2585839941,0,0,6190.6830954637,39819.1528656792,31,1544.6005723377,11192.7577705633,0.2810898014
Levelock,Bristol Bay,27,22,1010.1363636364,0.173673772,3859.5522341013,22,1010.1363636364,0.173673772,17,963.7647058824,0.3338895565,0.1175565022,1926.0457326013,3680.3876571928,22666.4322984984,0,0,0,0
Lime Village,Lower Yukon-Kuskokwim,11,1,968,0.1155681818,111.87,1,1045.957275886,0.1666381457,1,968,0.3336983204,0.0473863636,45.87,1726.4074283201,10879.3291907254,9,523.461686049,3793.2006235438,0.34866126
Livengood,Yukon-Koyukuk/Upper Tanana,7,0,0,0,0,0,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,1936.0069731671,12991.2099504859,7,631.9216006527,4579.1420337152,0.352480027
Lower Kalskag,Lower Yukon-Kuskokwim,75,25,849.12,0.1935751536,4109.2133609453,25,849.12,0.1935751536,20,880.2,0.4858616106,0.0913877678,1608.790264086,10649.0596581657,66047.5337548241,30,2395.8108261246,17360.9480153953,0.2628553563
Lutak,Southeast,25,0,0,0,0,0,1711.7903707981,0.1227746387,0,0,0.2806617236,0,0,5254.1111094707,34366.7471700775,25,1474.6278801048,10685.709276122,0.3109316463
Manley Hot Springs,Yukon-Koyukuk/Upper Tanana,41,7,1075.7442857143,0.1867713282,1406.4273236763,7,1121.8146232877,0.2465402206,1,840,0.3264046098,0.1317098109,110.6362411185,10643.9535811539,71051.4027619845,33,2979.0589745056,21587.3838732286,0.3038276942
Manokotak,Bristol Bay,121,89,1045.9994382023,0.118818581,11061.2910408132,89,1045.9994382023,0.118818581,76,819.6307894737,0.1979650917,0.0937529529,5840.0533185975,11432.8409235031,64907.1081413267,0,0,0,0
Marshall,Lower Yukon-Kuskokwim,100,18,1088.0555555556,0.2630600386,5152.0308560669,18,1088.0555555556,0.2630600386,10,883,0.2442895854,0.1832966127,1618.5090898885,27378.663370223,183570.024421906,72,5034.3499263868,36480.7965680201,0.1987295948
McCarthy,Copper River/Chugach,20,7,1599.6428571429,0.626488861,7015.1090209188,7,1845.1516180905,0.1543141463,2,1438.75,0.2999368524,0.1287121298,370.3691534628,10517.5411385702,73248.8488302185,11,939.4211069587,6807.399325788,0.0929352397
McGrath,Yukon-Koyukuk/Upper Tanana,147,21,1872.3333333333,0.1467455935,5769.8899927414,21,1872.3333333333,0.1467455935,2,1152,0.3264046098,0.1354880435,312.1644521739,40151.8810687218,269161.312092187,124,11120.5484652031,80583.6845304574,0.2993880655
McKinley Park,Railbelt,109,0,0,0,0,0,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,29321.5179058817,196314.332651317,109,6748.5693188132,48902.6762232841,0.2491039526
Mekoryuk,Lower Yukon-Kuskokwim,70,0,0,0,0,0,1045.957275886,0.1666381457,0,0,0.3336983204,0,0,12200.7466647119,78032.9468457387,70,4071.3686692704,29502.6715164518,0.3780796793
Mendeltna,Copper River/Chugach,19,0,0,0,0,0,1845.1516180905,0.1543141463,0,0,0.2999368524,0,0,5409.9269381439,36385.4125952456,19,1622.6364574742,11758.2351990883,0.323157946
Mentasta Lake,Copper River/Chugach,46,13,1106.2307692308,0.3138739378,4513.8211000757,13,1106.2307692308,0.3138739378,10,1109.3,0.4933483723,0.1512789485,1678.1373754418,14177.9496525745,95918.7655983661,23,3939.8757487579,28549.8242663615,0.2976458682
Metlakatla,Southeast,493,95,1084.9104210526,0.1056128078,10885.1413956962,95,1084.9104210526,0.1056128078,87,1054.9548275862,0.1651663738,0.0867609102,7963.0091742162,54482.6660863493,321709.319466299,311,5885.6237111365,42649.4471821482,0.1325713761
Minto,Yukon-Koyukuk/Upper Tanana,65,15,993.0666666667,0.1772390064,2640.1522397326,15,993.0666666667,0.1772390064,12,949,0.2630084554,0.1162012852,1323.3002362065,10651.8381499283,67550.2764487557,38,1759.1019853045,12747.11583554,0.1887056057
Moose Pass,Railbelt,93,3,1760.3333333333,0.1141556912,602.8562051893,3,1747.5136673929,0.1539357067,1,1728,0.2301575703,0.116087963,200.6,24744.8790824689,165522.45711934,89,5510.299719031,39929.7081089201,0.2412343848
Mosquito Lake,Southeast,138,0,0,0,0,0,1711.7903707981,0.1227746387,0,0,0.2806617236,0,0,29002.6933242783,189704.444378828,138,8139.9458981787,58985.1152041934,0.3109316463
Mountain Village,Lower Yukon-Kuskokwim,184,23,853.347826087,0.2292737981,4499.9568347936,23,853.347826087,0.2292737981,4,760,0.3336983204,0.1529949983,465.1047949735,35682.1582846627,231286.364381614,157,10250.2435603718,74277.1272490707,0.3211478872
Mud Bay,Southeast,104,0,0,0,0,0,1711.7903707981,0.1227746387,0,0,0.2806617236,0,0,21857.1022153981,142965.668227522,104,6134.4519812361,44452.5505886675,0.3109316463
Naknek,Bristol Bay,231,94,1507.3240425532,0.1588775785,22511.1194240245,94,1507.3240425532,0.1588775785,55,1293.456,0.2802887204,0.1187707546,8449.3609833349,50597.8399049127,332402.75293415,82,5504.1303648905,39885.0026441337,0.1199899889
Nanwalek,Railbelt,55,14,1619.2142857143,0.1081790069,2452.3099078279,14,1619.2142857143,0.1081790069,0,0,0.2301575703,0,0,9634.0746378955,61657.7872311265,41,1652.93752076,11977.8081214494,0.1942626983
Napakiak,Lower Yukon-Kuskokwim,96,36,983.7777777778,0.1703740874,6033.9686777378,36,983.7777777778,0.1703740874,22,991.8181818182,0.2647663003,0.1297250231,2830.6000035055,15233.7578410777,96156.5060947659,38,1686.3466499351,12219.903260399,0.1270834783
Napaskiak,Lower Yukon-Kuskokwim,94,14,988,0.1327940994,1836.8079833136,14,988,0.1327940994,6,1015.5,0.3336983204,0.0914669775,557.3082937027,12102.9584745313,73766.0759024004,74,3239.824334045,23476.9879278622,0.3182626653
Naukati Bay,Southeast,49,8,1120.25,0.1523351502,1365.2276163573,8,1711.7903707981,0.1227746387,5,1122.4,0.2806617236,0.0997475108,559.7830307359,9490.930644731,61510.0771357322,36,2123.464147351,15387.4213576157,0.250160983
Nelchina,Copper River/Chugach,30,0,0,0,0,0,1845.1516180905,0.1543141463,0,0,0.2999368524,0,0,8541.9899023325,57450.6514661772,30,2562.0575644329,18565.6345248763,0.323157946
Nelson Lagoon,Aleutians,22,8,1537.6425,0.0907542808,1116.3811134202,8,1280.005261708,0.1203594636,8,1537.6425,0.3206591027,0.0627899051,772.3874128038,2813.1330061211,17123.2826530515,6,296.4058846911,2147.8687296458,0.1254355706
Nenana,Railbelt,171,82,1301.7743902439,0.2097508737,22389.9618891246,82,1301.7743902439,0.2097508737,57,1212.2631578947,0.2182229718,0.1538638605,10631.8388979841,41759.3468901817,277251.354276679,32,1906.7332765548,13816.9078011213,0.0498353122
New Allakaket,Yukon-Koyukuk/Upper Tanana,18,0,0,0,0,0,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,4978.3036452867,33405.9684441067,18,1624.9412588212,11774.9366581247,0.352480027
New Stuyahok,Bristol Bay,114,120,868.3819166667,0.1549323923,16144.8585369376,120,868.3819166667,0.1549323923,65,908.7973846154,0.1346793004,0.09862167,5825.7625226729,12418.2464252558,73085.5538062013,0,0,0,0
Newhalen,Bristol Bay,50,30,1038,0.142971858,4452.1436596458,30,1038,0.142971858,20,1003,0.2339507376,0.1186610135,2380.3399304651,6832.4835901108,42097.7071747161,0,0,0,0
Newtok,Lower Yukon-Kuskokwim,70,0,0,0,0,0,1045.957275886,0.1666381457,0,0,0.3336983204,0,0,12200.7466647119,78032.9468457387,70,4071.3686692704,29502.6715164518,0.3780796793
Nightmute,Lower Yukon-Kuskokwim,59,34,812.3529411765,0.1447063012,3996.7880391314,34,812.3529411765,0.1447063012,28,808.2857142857,0.3521411668,0.0783118067,1772.3528100682,5416.483081041,30502.4860944999,0,0,0,0
Nikolaevsk,Railbelt,107,0,0,0,0,0,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,28783.5084030215,192712.234804503,107,6624.742358835,48005.3794118477,0.2491039526
Nikolai,Yukon-Koyukuk/Upper Tanana,37,2,1112,0.1148942308,255.5247692308,2,1121.8146232877,0.2465402206,1,1040,0.3264046098,0.055125,57.33,9716.3172103279,64922.4435531008,34,3069.3334888845,22241.5470209022,0.3425864124
Nikolski,Aleutians,13,2,920,0.0926637608,170.5013199246,2,1280.005261708,0.1203594636,2,920,0.3206591027,0.0739693384,136.1035826524,1693.1516224226,10341.8233508881,9,444.6088270367,3221.8030944686,0.3115314375
Noatak,Northwest Arctic,114,34,840.2941176471,0.2627886043,7507.8704249176,34,840.2941176471,0.2627886043,33,843.9393939394,0.4231850002,0.1136823641,3166.0538405102,21052.4510292845,135652.253835395,47,4392.0368509578,31826.3539924477,0.2346172149
Nome,Bering Straits,1216,245,1307.8475102041,0.1350954132,43287.6289580758,245,1307.8475102041,0.1350954132,97,1090.3282474227,0.2508962624,0.1081973658,11443.1524871633,209152.772095681,1335314.58040349,874,38743.9002821507,280752.900595295,0.2102522542
Nondalton,Bristol Bay,57,38,997.0526315789,0.1551870564,5879.7271921861,38,997.0526315789,0.1551870564,37,971.2432432432,0.3889755187,0.0929048623,3338.6291299056,6433.2223889509,38166.6839779047,0,0,0,0
Noorvik,Northwest Arctic,153,0,0,0,0,0,1150.5043326039,0.2081087086,0,0,0.3314395025,0,0,36632.7855456675,242771.05467875,153,12141.5522181829,87982.2624506006,0.362408371
Northway,Yukon-Koyukuk/Upper Tanana,27,26,1237.2788461539,0.2162805964,6957.5845753835,26,1237.2788461539,0.2162805964,16,1041.140625,0.2304220381,0.1579749413,2631.586065474,5575.1795396747,36396.8082585124,0,0,0,0
Northway Junction,Yukon-Koyukuk/Upper Tanana,20,0,0,0,0,0,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,5531.448494763,37117.7427156741,20,1805.4902875791,13083.2629534719,0.352480027
Northway Village,Yukon-Koyukuk/Upper Tanana,30,0,0,0,0,0,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,8297.1727421445,55676.6140735111,30,2708.2354313687,19624.8944302078,0.352480027
Nuiqsut,North Slope,114,22,1144.8490909091,0.1142685929,2878.0464835513,22,1144.8490909091,0.1142685929,2,1137,0.2483414893,0.1362658953,309.8686460129,14961.7416531829,91516.6786462528,90,2923.9296134333,21187.8957495164,0.2315195007
Nulato,Yukon-Koyukuk/Upper Tanana,92,1,1184,0.0737668919,87.34,1,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,25255.4306511717,169370.367037476,91,8214.980808485,59528.8464382971,0.3514714379
Nunam Iqua,Lower Yukon-Kuskokwim,43,24,913.3333333333,0.2012624716,4411.6733773685,24,913.3333333333,0.2012624716,17,729.7058823529,0.4626589324,0.1053513697,1306.8837414237,6086.1965669062,37727.6562819289,2,170.091674574,1232.5483664779,0.0326696246
Nunapitchuk,Lower Yukon-Kuskokwim,124,25,972.64,0.1976052375,4804.9689556616,25,972.64,0.1976052375,19,1043.3684210526,0.1555178227,0.1472993498,2920.0623096725,23100.9319234513,149013.709590227,80,2391.2265918752,17327.7289266319,0.1162827835
Old Harbor,Kodiak,84,4,792,0.0963377986,305.1981458333,4,1817.0217554859,0.1060456189,2,816,0.2585839941,0.0865169271,141.195625,15475.9951078066,99690.9790420767,78,3886.4143433014,28162.4227775463,0.2824972033
