,,,BEES,,,,Pre-Retrofit,,,Post-Retrofit,,,,,Consumption,,Opportunity,,,
Oscarville,Lower Yukon-Kuskokwim,15,11,951.0909090909,0.1410959241,1476.1455574374,11,951.0909090909,0.1410959241,10,926.3,0.306629302,0.0954884218,884.5092508234,1555.484504204,9047.71379858,0,0,0,0
Ouzinkie,Kodiak,56,6,1331.8333333333,0.0651587248,520.6833700748,6,1817.0217554859,0.1060456189,0,0,0.2585839941,0,0,10155.0432014679,65284.660880202,50,2491.291245706,18052.8351138117,0.2765249121
Paxson,Copper River/Chugach,22,1,3060,0.0791078431,242.07,1,1845.1516180905,0.1543141463,1,3060,0.2999368524,0.0597352941,182.79,6119.5199348883,41082.6082238283,20,1708.0383762886,12377.0896832509,0.3012732204
Pedro Bay,Bristol Bay,19,10,1077.9,0.1806006183,1946.6940642734,10,1077.9,0.1806006183,10,1077.9,0.3414013396,0.1098337071,1183.8975289037,2935.9221867497,18457.8419329687,0,0,0,0
Pelican,Southeast,41,3,2169.3333333333,0.1752614827,1140.6017293711,3,1711.7903707981,0.1227746387,1,1920,0.2806617236,0.08634375,165.78,9082.4661713878,59736.2766042592,37,2182.4492625552,15814.8497286606,0.264744484
Perryville,Bristol Bay,38,8,1087.5625,0.1004125897,873.6397370761,8,1253.7457405615,0.1364969949,0,0,0.2334826601,0,0,6007.6155139842,37899.5327100306,30,1198.6943211782,8686.1907331755,0.2291899164
Petersburg,Southeast,1252,455,1804.385209713,0.1112045043,91298.3721125118,455,1804.385209713,0.1112045043,249,1653.9223790323,0.3446923468,0.0772854567,31828.2124424312,233085.942615726,1503405.96098353,548,37902.149179747,274653.254925703,0.1826873526
Pilot Point,Bristol Bay,27,6,1476.5,0.1597340282,1415.083755766,6,1253.7457405615,0.1364969949,0,0,0.2334826601,0,0,5008.8667996017,32293.0927507369,21,839.0860248248,6080.3335132229,0.1882858839
Pilot Station,Lower Yukon-Kuskokwim,121,74,861.3963513514,0.2123113957,13533.435357918,74,861.3963513514,0.2123113957,70,874.619,0.2748223602,0.1403145054,8590.5212688953,17917.6186101631,111898.250798283,0,0,0,0
Pitkas Point,Lower Yukon-Kuskokwim,31,0,0,0,0,0,1045.957275886,0.1666381457,0,0,0.3336983204,0,0,5403.1878086582,34557.4478888271,31,1803.0346963912,13065.4688144287,0.3780796793
Platinum,Lower Yukon-Kuskokwim,19,7,873.1428571429,0.1260251992,770.2660174375,7,1045.957275886,0.1666381457,6,868.6666666667,0.3336983204,0.1022992095,533.1834800292,2349.2277830134,14206.4332102418,6,348.974457366,2528.8004156959,0.1780038929
Point Baker,Southeast,8,3,967,0.3098102091,898.7594166958,3,1711.7903707981,0.1227746387,3,967,0.2806617236,0.1598643659,463.7665254481,1782.8548309015,11733.1509485618,2,117.9702304084,854.8567420898,0.0728582412
Point Hope,North Slope,186,42,1149.0416666667,0.1375660971,6638.9054569249,42,1149.0416666667,0.1375660971,8,1092.1875,0.2483414893,0.1072511648,937.1070521352,29073.4206552931,183100.43953111,136,5338.6983547566,38686.2199620041,0.2112841458
Point Lay,North Slope,60,21,960.0833333333,0.1627034473,3280.3862279512,21,960.0833333333,0.1627034473,15,977.1,0.2632777669,0.1341757349,1966.5466580969,8995.9457179924,56292.3602753069,24,987.0317265288,7152.4038154258,0.1270581617
Pope-Vannoy Landing,Bristol Bay,3,0,0,0,0,0,1253.7457405615,0.1364969949,0,0,0.2334826601,0,0,513.3975776908,3275.4896934117,3,119.8694321178,868.6190733176,0.2651875459
Port Alexander,Southeast,22,7,1078.8571428572,0.1758947388,1328.3570676953,7,1711.7903707981,0.1227746387,4,1015.5,0.2806617236,0.1169520793,475.0593461008,4115.2253019632,26558.7340721967,11,648.8362672461,4701.7120814937,0.17703073
Port Alsworth,Bristol Bay,44,2,1799,0.0985143607,354.454669943,2,1253.7457405615,0.1364969949,0,0,0.2334826601,0,0,7542.0207576144,48128.8460696693,42,1678.1720496495,12160.6670264457,0.2526689921
Port Graham,Railbelt,79,3,1290,0.1038682963,401.9703066202,3,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,20846.3314153084,139347.763879046,76,4705.4244791725,34097.2788345834,0.2446919698
Port Heiden,Bristol Bay,35,44,1176.0529545455,0.1027512673,5317.0009833581,44,1176.0529545455,0.1027512673,17,1122.2352941177,0.1648069109,0.0823447693,1570.9735092759,3746.1102751951,21956.5961970661,0,0,0,0
Port Lions,Kodiak,77,7,1214.2857142857,0.0709995174,603.4958978578,7,1817.0217554859,0.1060456189,0,0,0.2585839941,0,0,14091.5996618082,90696.9540710738,70,3487.8077439884,25273.9691593364,0.2786639245
Port Protection,Southeast,26,4,719.75,0.2200385757,633.4910594225,4,1711.7903707981,0.1227746387,4,719.75,0.2806617236,0.1658829165,477.5769167103,4894.0279749518,31609.1882242881,18,1061.7320736755,7693.7106788078,0.243401084
Portage Creek,Bristol Bay,1,0,0,0,0,0,1253.7457405615,0.1364969949,0,0,0.2334826601,0,0,171.1325258969,1091.8298978039,1,39.9564773726,289.5396911059,0.2651875459
Quinhagak,Lower Yukon-Kuskokwim,165,21,1027.4166666667,0.0799879019,1725.7989746936,21,1027.4166666667,0.0799879019,4,915,0.3336983204,0.0994481974,363.9804024746,13595.1058751254,74052.2164864157,140,3839.3081276731,27821.0733889354,0.37569535
Rampart,Yukon-Koyukuk/Upper Tanana,10,1,1280,0.9889765625,1265.89,1,1121.8146232877,0.2465402206,1,1280,0.3264046098,0.346234375,443.18,3921.6493979052,26935.1405645305,8,722.1961150316,5233.3051813888,0.1942928484
Red Devil,Lower Yukon-Kuskokwim,12,4,563.5,0.2870252386,646.9548877192,4,1045.957275886,0.1666381457,4,563.5,0.3336983204,0.1430755035,322.4921848624,1666.6325962794,10297.9173643433,4,232.649638244,1685.8669437973,0.163709504
Ruby,Yukon-Koyukuk/Upper Tanana,62,6,1296,0.0767881833,597.1049133505,6,1121.8146232877,0.2465402206,1,1216,0.3264046098,0.5302878289,644.83,16453.4182739488,110035.494738759,55,4965.0982908426,35978.9731220477,0.3269760654
Russian Mission,Lower Yukon-Kuskokwim,73,30,861,0.2142311585,5533.5908252542,30,861,0.2142311585,29,809.5172413793,0.3361514477,0.1357304879,3186.4089345919,11302.3421449648,71077.9865577156,14,868.0581311187,6290.2763124543,0.0884982344
Saint George,Aleutians,42,17,1052.8676470588,0.134510982,2407.5784382693,17,1052.8676470588,0.134510982,17,1052.8676470588,0.3055272867,0.09157119,1639.0098368426,5179.5663637091,31306.1330703558,8,346.1557213516,2508.3747924028,0.0801240698
Saint Mary's,Lower Yukon-Kuskokwim,151,27,913.1481481481,0.2090479903,5154.078201323,27,913.1481481481,0.2090479903,23,869.9565217391,0.3810925923,0.1304472236,2610.1184979463,27044.2670079221,173585.558028421,101,7347.4919731315,53242.6954574746,0.3067230711
Saint Michael,Bering Straits,96,21,920.6666666667,0.289419238,5595.6315466355,21,920.6666666667,0.289419238,12,706.8333333333,0.5007870733,0.1700052487,1441.9845190603,23824.5107056023,158408.338446393,63,8406.6598366853,60917.8249035169,0.3845619839
Saint Paul,Aleutians,162,54,1172.765,0.1454804901,9213.1790583148,54,1172.765,0.1454804901,35,1023.6088571429,0.3702105981,0.1005677304,3602.9706848912,25271.0029146316,159104.948656751,73,4610.9186419929,33412.4539274844,0.2100026065
Salamatof,Railbelt,246,0,0,0,0,0,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,66175.1688518064,443058.035158017,246,15230.7160773216,110367.507806678,0.2491039526
Salcha,Railbelt,429,0,0,0,0,0,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,115403.038363516,772649.98814142,429,26560.882915329,192470.166053109,0.2491039526
Sand Point,Aleutians,246,67,1282.8965671642,0.1186765173,10200.7296770665,67,1282.8965671642,0.1186765173,50,1194.5518,0.3337632886,0.0817189347,4880.8750285742,34721.8155764106,215135.185336309,129,6555.1813682615,47501.3142627644,0.2207975148
Savoonga,Bering Straits,166,10,1155.2,0.091145939,1052.9178869484,10,1155.2,0.091145939,0,0,0.3261277145,0,0,17478.4369233427,102044.035676397,156,5356.8169835904,38817.5143738436,0.3803996394
Saxman,Southeast,120,11,1944.3636363636,0.09277651,1984.3039956462,11,1944.3636363636,0.09277651,10,1991.4,0.2480599108,0.0669126246,1332.4980068573,21175.5379633188,135654.6229226,99,4430.0364497585,32101.7134040471,0.236642974
Scammon Bay,Lower Yukon-Kuskokwim,96,51,760.0784313725,0.2839930954,11008.7083519152,51,760.0784313725,0.2839930954,45,764.8,0.4906217376,0.1272627951,4379.8763576893,15388.5847096045,97278.43992467,0,0,0,0
Selawik,Northwest Arctic,186,5,4362.6,0.177216814,3865.6303645123,5,1150.5043326039,0.2081087086,5,4362.6,0.3314395025,0.1132518291,2470.3621479824,48475.6673885566,323696.43035186,176,13966.7528784326,101208.354191541,0.3126644124
Seldovia,Railbelt,121,20,2278.5835,0.1794963744,8179.9495406882,20,2278.5835,0.1794963744,12,2570.5241666667,0.1619212279,0.1881221535,5802.8705035013,50383.5955002521,347158.952900377,89,5894.0582586761,42710.5670918558,0.123028851
Seldovia Village,Railbelt,74,0,0,0,0,0,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,19906.3516058279,133277.620332086,74,4581.5975191943,33199.982023147,0.2491039526
Seward,Railbelt,928,373,1910.8184986595,0.1108370057,78997.4465179246,373,1910.8184986595,0.1108370057,121,1853.1343801653,0.2767783691,0.0960570574,21538.802908941,192452.849396783,1256999.77823756,434,25440.5266355551,184351.642286631,0.1466600436
Shageluk,Yukon-Koyukuk/Upper Tanana,36,11,967.0909090909,0.1033257195,1099.1790040308,11,967.0909090909,0.1033257195,1,713,0.3264046098,0.088513324,63.11,3560.4977400979,20463.3169572313,24,782.7863867224,5672.3651211768,0.2771967581
Shaktoolik,Bering Straits,64,9,967.5555555556,0.1883876981,1640.4800749054,9,1243.088742515,0.1509469955,7,892,0.3261277145,0.1009883939,630.5715318073,11277.7961281414,72234.4646966768,48,2937.3490062838,21285.1377266942,0.2946673422
Shishmaref,Bering Straits,141,0,0,0,0,0,1243.088742515,0.1509469955,0,0,0.3261277145,0,0,26457.3120316965,170814.869794903,141,8628.4627059587,62525.0920721643,0.3660401003
Shungnak,Northwest Arctic,62,56,959.5367857143,0.4011178981,21553.6932014867,56,959.5367857143,0.4011178981,1,1064,0.3314395025,0.1214473684,129.22,23607.3500944765,161875.580394758,5,637.8344064965,4621.9884528732,0.028552722
Silver Springs,Copper River/Chugach,44,0,0,0,0,0,1845.1516180905,0.1543141463,0,0,0.2999368524,0,0,12528.2518567543,84260.9554837265,44,3757.684427835,27229.5973031519,0.323157946
Sitka,Southeast,3545,815,1642.3942435424,0.1099067377,147115.807566246,815,1642.3942435424,0.1099067377,441,1513.4153287982,0.2450474908,0.0849364378,56687.9511563089,616991.591261375,3945368.77725634,2289,101250.641607311,733700.301502257,0.1859649485
Skagway,Southeast,436,66,1702.8477272727,0.1189996369,13374.1252421625,66,1702.8477272727,0.1189996369,13,1517.5084615385,0.0473231916,0.121746311,2401.7637417955,88117.7482483827,573892.668466541,357,3423.4476686404,24807.5918017418,0.043226884
Skwentna,Railbelt,20,1,800,0.13565,108.52,1,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,5219.610277172,34858.0454867539,19,1176.3561197931,8524.3197086459,0.2445438231
Slana,Copper River/Chugach,77,9,1619.7777777778,0.2257307392,3290.7027154781,9,1845.1516180905,0.1543141463,3,1283.3333333333,0.2999368524,0.14290814,550.1963388802,22348.5438427452,150529.882918444,65,5551.124722938,40225.5414705653,0.2672262855
Sleetmute,Lower Yukon-Kuskokwim,36,17,804,0.3720017489,5084.5199037013,17,804,0.3720017489,5,909.6,0.3336983204,0.1839318931,836.5222500122,10108.2938391146,67911.1147761929,14,1397.2788543835,10125.2090897352,0.1490950211
South Naknek,Bristol Bay,35,24,1135.51125,0.1550461823,4225.3604221664,24,1135.51125,0.1550461823,20,1104.5635,0.2530364244,0.1214915487,2683.9026055245,5324.7528693785,33396.035285351,0,0,0,0
Stebbins,Bering Straits,134,18,746.7777777778,0.2988719445,4017.4366774998,18,746.7777777778,0.2988719445,16,562.0625,0.6007072699,0.1324111922,1190.773851621,27527.3031818971,179606.254941283,100,13407.2412138537,97153.9218395193,0.5409272738
Stevens Village,Yukon-Koyukuk/Upper Tanana,26,1,400,0.22195,88.78,1,1121.8146232877,0.2465402206,1,400,0.3264046098,0.254425,101.77,6828.2881937156,45625.5666211277,24,2166.588345095,15699.9155441663,0.3441034645
Stony River,Lower Yukon-Kuskokwim,20,2,963.5,0.2070596099,399.0038681872,2,1045.957275886,0.1666381457,2,963.5,0.3336983204,0.1655424243,319.0002516318,3506.7462146103,22445.9870623936,16,930.5985529761,6743.467775189,0.3004308858
Sutton,Railbelt,0,47,1680.7393617021,0.1463753666,11562.8854907828,47,1680.7393617021,0.1463753666,21,1371.2261904762,0.1926840797,0.1421014161,4091.9168539429,-1074.478790875,-7786.0781947464,0,0,0,0
Takotna,Yukon-Koyukuk/Upper Tanana,22,17,1007.8235294118,0.2443093671,4185.7523871487,17,1007.8235294118,0.2443093671,7,704.5714285714,0.3264046098,0.1837718191,906.3626119,4599.6735417371,30069.2285633123,0,0,0,0
Talkeetna,Railbelt,449,63,1428.9001587302,0.1651508004,14866.9923110803,63,1428.9001587302,0.1651508004,21,976.8214285714,0.2474769584,0.1905164385,3908.1113320535,104909.265445424,693642.93801032,365,21316.2203806959,154465.365077506,0.2226871444
Tanacross,Yukon-Koyukuk/Upper Tanana,53,43,1175.1860465116,0.2628071273,13280.4325637816,43,1175.1860465116,0.2628071273,20,1097.75,0.4606734962,0.1767758975,3881.1148303797,14073.0747049098,94120.9761225346,0,0,0,0
Tanaina,Railbelt,2713,0,0,0,0,0,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,729809.890629881,4886245.72920204,2713,167971.271210461,1217183.12471348,0.2491039526
Tanana,Yukon-Koyukuk/Upper Tanana,100,58,874.7586206897,0.2664013707,13516.1399448925,58,874.7586206897,0.2664013707,53,814.8679245283,0.3652703104,0.1332542484,5754.9844807947,16707.7185740697,106244.337493259,0,0,0,0
Tatitlek,Copper River/Chugach,36,5,1579.4,0.1181799694,933.2672181014,5,1845.1516180905,0.1543141463,0,0,0.2999368524,0,0,9759.9901171782,65387.1747621611,31,2647.4594832474,19184.4890090388,0.2933983473
Tazlina,Copper River/Chugach,111,13,1448.9730769231,0.187311704,3528.3250098304,13,1448.9730769231,0.187311704,10,1332.865,0.1972446803,0.1432069665,1908.7555333808,29321.1267636013,196014.976547835,88,4711.0010618257,34137.688853809,0.1741585743
Telida,Yukon-Koyukuk/Upper Tanana,0,2,597.625,0.4008753477,479.1462593503,2,1121.8146232877,0.2465402206,2,597.625,0.3264046098,0.114971715,137.4199423559,-489.7234972464,-3548.7209945393,0,0,0,0
Teller,Bering Straits,72,0,0,0,0,0,1243.088742515,0.1509469955,0,0,0.3261277145,0,0,13510.1167821429,87224.6143633545,72,4406.0235094257,31927.7065900414,0.3660401003
Tenakee Springs,Southeast,72,8,1198.39125,0.2826110005,2709.4284014343,8,1711.7903707981,0.1227746387,1,1170,0.2806617236,0.1053856034,123.3011559542,16073.0895532547,105796.880820686,63,3716.0622578642,26927.9873758274,0.254525343
Tetlin,Yukon-Koyukuk/Upper Tanana,43,11,808.4318181818,0.3409302597,3031.8075666486,11,808.4318181818,0.3409302597,8,789.09375,0.3264046098,0.1841826246,1162.6988632852,10809.3593026216,71953.4732074032,24,2159.1184708147,15645.786020396,0.2174430965
Thorne Bay,Southeast,214,24,1614.6041666667,0.1294684859,5016.9685626125,24,1614.6041666667,0.1294684859,12,1251.1666666667,0.4453096123,0.0960477016,1442.0601920476,43668.2122607028,284708.494642774,178,16569.6070812462,120069.616530769,0.4217282547
Togiak,Bristol Bay,231,104,983.7175961538,0.1255222094,12841.754229585,104,983.7175961538,0.1255222094,62,996.9516129032,0.1598684552,0.1063199369,6571.7416190604,27439.5922421361,164589.36407345,65,1283.1196315137,9297.9683443019,0.0564919149
Tok,Yukon-Koyukuk/Upper Tanana,532,110,1582.7752727273,0.2365687927,41187.8758870451,110,1582.7752727273,0.2365687927,64,1372.97890625,0.2630222786,0.1661697381,14601.4428939952,189837.133031605,1296756.61617105,358,35257.5615479405,255489.576434351,0.1970219957
Toksook Bay,Lower Yukon-Kuskokwim,125,10,876.7,0.0974123008,854.013640879,10,876.7,0.0974123008,2,740,0.3336983204,0.0995223485,147.2930757576,10651.6608585687,58653.3395548458,113,3220.3069681354,23335.5577401112,0.3978555683
Tolsona,Copper River/Chugach,18,0,0,0,0,0,1845.1516180905,0.1543141463,0,0,0.2999368524,0,0,5125.1939413995,34470.3908797063,18,1537.2345386598,11139.3807149258,0.323157946
Tonsina,Copper River/Chugach,39,2,1170.25,0.4804035075,1124.3844093146,2,1845.1516180905,0.1543141463,1,638.5,0.2999368524,0.5534690681,353.39,11728.1622921136,79204.5093631418,36,3074.4690773195,22278.7614298515,0.2812814776
Trapper Creek,Railbelt,225,20,1109.325,0.3449982248,7654.3031143934,20,1109.325,0.3449982248,15,1046,0.3476825538,0.1803294435,2829.3689689173,83199.5516700477,569536.606304694,190,25282.0427167139,183203.20809213,0.321670646
Tuluksak,Lower Yukon-Kuskokwim,92,9,934,0.1712560094,1439.57801495,9,1045.957275886,0.1666381457,6,1003,0.3336983204,0.1458558007,877.7602088936,15738.1595550267,100404.634456715,77,4478.5055361974,32452.938668097,0.323221521
Tuntutuliak,Lower Yukon-Kuskokwim,96,4,884,0.0757437783,267.83,4,1045.957275886,0.1666381457,0,0,0.3336983204,0,0,16303.09704505,103905.340906159,92,5350.9416796125,38774.9397073366,0.373175617
Tununak,Lower Yukon-Kuskokwim,84,48,761.9583333333,0.1933562534,7071.8116132285,48,761.9583333333,0.1933562534,47,757.7446808511,0.5459212012,0.0785207219,2796.4369898333,8247.6251083637,47311.4862924902,0,0,0,0
Twin Hills,Bristol Bay,29,0,0,0,0,0,1253.7457405615,0.1364969949,0,0,0.2334826601,0,0,4962.8432510112,31663.0670363131,29,1158.7378438056,8396.6510420697,0.2651875459
Two Rivers,Railbelt,296,5,1686.2,0.0961929626,811.0028679532,5,1747.5136673929,0.1539357067,0,0,0.2301575703,0,0,79091.3855341144,529240.764739959,291,18016.8226768316,130556.686063997,0.2466867535
Tyonek,Railbelt,70,35,1133.2155555556,0.1432682407,5682.3829657579,35,1133.2155555556,0.1432682407,24,1104.85125,0.1713383017,0.1120250748,2970.5050540469,10438.779809043,65265.0710800214,11,305.9916661975,2217.3309144743,0.0339742358
Ugashik,Bristol Bay,7,0,0,0,0,0,1253.7457405615,0.1364969949,0,0,0.2334826601,0,0,1197.9276812786,7642.8092846273,7,279.6953416083,2026.777837741,0.2651875459
Unalakleet,Bering Straits,225,13,1673.5384615385,0.1482466211,3225.2534894569,13,1673.5384615385,0.1482466211,1,400,0.3261277145,0.261575,104.63,55678.2285875648,370106.728895397,211,17072.2461471728,123711.928602701,0.3342601443
Unalaska,Aleutians,927,79,1380.1582278481,0.1117601008,12185.4831878091,79,1380.1582278481,0.1117601008,27,1309.3333333333,0.3307468382,0.0720518721,2547.1777816221,141369.138149068,886976.218471506,821,41884.6144294711,303511.698764284,0.3421869634
Upper Kalskag,Lower Yukon-Kuskokwim,60,44,1048.8636363636,0.1884335018,8696.2061099584,44,1048.8636363636,0.1884335018,41,1049.8780487805,0.2204233953,0.1366598286,5882.5223241483,9637.7022352667,60942.7698207729,0,0,0,0
Valdez,Copper River/Chugach,1573,451,1927.4156984479,0.1273682586,110716.703083124,451,1927.4156984479,0.1273682586,166,1803.1689156627,0.2772572283,0.1069837767,32023.0302127872,377429.684842401,2501783.36842319,956,65069.4854793688,471518.010720064,0.1884727577
Venetie,Yukon-Koyukuk/Upper Tanana,61,43,843.6744186047,0.4002830472,14521.4683860111,43,843.6744186047,0.4002830472,35,813.8285714286,0.5406780658,0.1486423986,4233.9300807282,13014.3528257581,85262.9914910007,0,0,0,0
Wainwright,North Slope,147,34,1042.6720588235,0.1742434971,6177.0800806928,34,1042.6720588235,0.1742434971,19,967.02,0.1676750803,0.1625048388,2985.7631549885,26240.6528705376,168355.31065607,94,2863.523102085,20750.1674064132,0.1232522296
Wales,Bering Straits,43,4,1168,0.0594210681,277.6152300469,4,1243.088742515,0.1509469955,0,0,0.3261277145,0,0,7595.5951537077,48665.3272007804,39,2386.5960676056,17294.1744029391,0.3553695289
Ward Cove,Southeast,0,20,1486.25,0.1855136576,5514.3934711079,20,1486.25,0.1855136576,12,1414.3333333333,0.4160627339,0.1102406816,1871.0048473822,-1437.6312352825,-10417.6176469749,0,0,0,0
Whale Pass,Southeast,20,2,1333.5,0.1283382723,342.2781721444,2,1711.7903707981,0.1227746387,1,1536,0.2806617236,0.0538020833,82.64,3997.7137265845,26003.7226564092,17,1002.7469584713,7266.282307763,0.2794323876
White Mountain,Bering Straits,65,5,1171.8,0.0740666064,433.9562471545,5,1243.088742515,0.1509469955,0,0,0.3261277145,0,0,11692.3868989402,75090.4847749293,60,3671.6862578548,26606.4221583678,0.3543248154
Willow,Railbelt,893,82,1182.9628048781,0.2344142648,22738.8752090582,82,1182.9628048781,0.2344142648,70,1224.0992857143,0.3015513661,0.13421632,11500.5871048709,239721.249264077,1604713.54539186,741,61963.3135636095,449009.51857688,0.2798066483
Wiseman,Yukon-Koyukuk/Upper Tanana,5,0,0,0,0,0,1121.8146232877,0.2465402206,0,0,0.3264046098,0,0,1382.8621236908,9279.4356789185,5,451.3725718948,3270.815738368,0.352480027
Womens Bay,Kodiak,283,0,0,0,0,0,1817.0217554859,0.1060456189,0,0,0.2585839941,0,0,54530.476645685,353190.555403514,283,14100.7084506961,102179.046744174,0.2893028853
Wrangell,Southeast,1053,279,1871.0928315412,0.1435505458,74938.3948074597,279,1871.0928315412,0.1435505458,166,1790.034939759,0.3270492039,0.0991058782,29448.8954479867,267693.899728333,1783692.17194445,608,53409.2966241433,387023.888580749,0.2169790812
Yakutat,Southeast,270,41,1302.3678048781,0.1263832435,6748.4961654313,41,1302.3678048781,0.1263832435,28,1330.9807142857,0.2439490329,0.0972407442,3623.9155438403,43456.50266663,274871.758453841,201,8070.8319937977,58484.2898101285,0.2127693661
